ID;Imagen;Nombre;Referencia;Categor√≠a;Precio base;Precio final;Cantidad;Estado
43;http://yalobox.com/img/p/0.jpg;Arroba Azucar;;Home;10.75;10.75;0;0
341;http://yalobox.com/img/p/3/6/4/364.jpg;Ambiental Tips Brisas de Lavanda;;Home;1.11;1.11;4;1
106;http://yalobox.com/img/p/1/2/6/126.jpg;Toallitas Desmaquillantes Ponds;;Home;8.40;8.40;2;1
285;http://yalobox.com/img/p/3/0/7/307.jpg;Antitranspirante AXE Dark Temptation 152ml;;Home;4.74;4.74;1;1
49;http://yalobox.com/img/p/6/6/66.jpg;Jugo Del Valle Fresh 2.75 Litros;;Home;1.54;1.54;2;1
229;http://yalobox.com/img/p/2/4/9/249.jpg;Bombones American Rellenos Crema Chocolate-Mora;;Home;4.24;4.24;1;1
172;http://yalobox.com/img/p/1/9/3/193.jpg;Quitamanchas Deja 420g;;Home;6.14;6.14;3;1
349;http://yalobox.com/img/p/3/7/2/372.jpg;Lavavajillas Tips Naranja 250g;;Home;0.74;0.74;2;1
115;http://yalobox.com/img/p/1/3/7/137.jpg;PaÒuelo de Bolsillo Karite Familia 4 u;;Home;2.18;2.18;1;1
293;http://yalobox.com/img/p/3/1/5/315.jpg;Aceite La Favorita 1lt;;Home;2.19;2.19;2;1
57;http://yalobox.com/img/p/7/5/75.jpg;Yogurt Nutri Durazno 1000g;;Home;2.25;2.25;1;1
237;http://yalobox.com/img/p/2/5/7/257.jpg;Almendras American Recubiertas Con Chocolate;;Home;3.82;3.82;1;1
180;http://yalobox.com/img/p/2/0/2/202.jpg;BC Oil Miracle Gold Shimmer Acondicionador 150ml;;Home;21.93;21.93;2;1
123;http://yalobox.com/img/p/1/5/5/155.jpg;Desodorante Spray Dove Men Care Clean Confort;;Home;6.09;6.09;1;1
301;http://yalobox.com/img/p/3/2/3/323.jpg;Suavizante Perla Soft Ternura 1000ml;;Home;3.12;3.12;0;1
66;http://yalobox.com/img/p/8/5/85.jpg;Jarabe de Chocolate Snob 680g;;Home;3.84;3.84;2;1
245;http://yalobox.com/img/p/2/6/5/265.jpg;Vino GuayasamÌn Reserva Cabernet Sauvignon 750ml;;Home;13.93;13.93;0;1
188;http://yalobox.com/img/p/2/0/9/209.jpg;BC Repair Rescue Crema Tratamiento 200ml;;Home;30.70;30.70;1;1
131;http://yalobox.com/img/p/1/4/9/149.jpg;JabÛn Õçntimo Natural Nosotras Sachet 18 ml;;Home;0.57;0.57;6;1
309;http://yalobox.com/img/p/3/3/1/331.jpg;Desinfectante Olimpia Lavanda 900ml;;Home;1.88;1.88;0;1
74;http://yalobox.com/img/p/9/3/93.jpg;Sardinas en Salsa de Tomate Tinapas Isabel 156g;;Home;0.63;0.63;0;1
253;http://yalobox.com/img/p/2/7/3/273.jpg;Caf√© Instantaneo Alto Cayetano Frasco 40g;;Home;1.75;1.75;2;1
196;http://yalobox.com/img/p/2/1/7/217.jpg;Caf√© Buen D√≠a 85g;;Home;5.08;5.08;0;1
140;http://yalobox.com/img/p/1/6/0/160.jpg;Desodorante Spray Rexona Extra Fresh Women;;Home;4.74;4.74;1;1
317;http://yalobox.com/img/p/3/3/9/339.jpg;Chocolisto Tarro 1000g;;Home;7.71;7.71;2;1
82;http://yalobox.com/img/p/1/0/1/101.jpg;Jab√≥n √çntimo Natural Nosotras 150ml;;Home;9.11;9.11;2;1
261;http://yalobox.com/img/p/2/8/1/281.jpg;T√© de Menta ILE Caja 25 sobres;;Home;1.01;1.01;1;1
24;http://yalobox.com/img/p/4/1/41.jpg;Leche Nutri Semidescremada Carton 1L;;Lacteos;1.40;1.40;0;1
204;http://yalobox.com/img/p/2/2/5/225.jpg;T√© de Manzanilla Pusuqu√≠ Caja 25 sobres;;Home;0.88;0.88;2;1
148;http://yalobox.com/img/p/1/6/9/169.jpg;Shampoo Sedal Negros Luminosos 200ml;;Home;2.66;2.66;1;1
325;http://yalobox.com/img/p/3/4/8/348.jpg;Colcaf√© Todo en Uno 380g;;Home;6.18;6.18;1;1
90;http://yalobox.com/img/p/1/0/9/109.jpg;Desodorante AXE Dark Temptation 150ml;;Home;4.74;4.74;2;1
269;http://yalobox.com/img/p/2/9/1/291.jpg;Pilas Energizer Alkalina AA2;;Home;1.97;1.97;2;1
32;http://yalobox.com/img/p/5/1/51.jpg;Yogurt Nutri Fresa 200 g con cereal;;Alimentaci√≥n;0.65;0.65;6;1
213;http://yalobox.com/img/p/2/3/3/233.jpg;Mayonesa Alacena Sachet 500 cm¬≥;;Home;2.82;2.82;1;1
156;http://yalobox.com/img/p/1/7/7/177.jpg;Mermelada Frutimora Snob Frasco 290g;;Home;1.69;1.69;0;1
333;http://yalobox.com/img/p/3/5/6/356.jpg;Clavo de Acero 65mm Caja;;Ferreter√≠a;4.23;4.23;1;1
98;http://yalobox.com/img/p/1/1/8/118.jpg;Detergente en Polvo Deja Brisas de Primavera 600g;;Home;1.56;1.56;3;1
277;http://yalobox.com/img/p/2/9/9/299.jpg;Aj√≠ Casero Snob 170g;;Home;1.70;1.70;3;1
41;http://yalobox.com/img/p/1/3/1/131.jpg;Quintal de Arroz;;Home;55.00;55.00;0;1
221;http://yalobox.com/img/p/2/4/1/241.jpg;Cabello de Angel Don Vittorio 250g;;Home;0.83;0.83;2;1
164;http://yalobox.com/img/p/1/8/4/184.jpg;Splenda Endulzante Caja 100 sobres;;Home;7.41;7.41;1;1
224;http://yalobox.com/img/p/2/4/4/244.jpg;At√∫n Van Camps Aceite de Girasol Tripack;;Home;2.39;2.39;3;1
167;http://yalobox.com/img/p/1/8/8/188.jpg;At√∫n Real Lomitos en Aceite de Girasol 142g;;Home;1.23;1.23;2;1
344;http://yalobox.com/img/p/3/6/7/367.jpg;Ambiental Tips Potpourri;;Home;1.11;1.11;1;1
109;http://yalobox.com/img/p/1/2/9/129.jpg;Talco Rexona Efficient 100g;;Home;2.57;2.57;2;1
288;http://yalobox.com/img/p/3/1/0/310.jpg;Detergente en Polvo Surf Rosas y Lilas 1kg;;Home;2.68;2.68;1;1
52;http://yalobox.com/img/p/7/0/70.jpg;Fideos Espirales/Tornillo Don Vittorio 400g;;Home;1.75;1.75;0;1
232;http://yalobox.com/img/p/2/5/2/252.jpg;Chupetes Plop Surtidos;;Home;2.37;2.37;1;1
175;http://yalobox.com/img/p/1/9/6/196.jpg;Saloon In Keratina Pack;;Home;0.00;0.00;2;0
118;http://yalobox.com/img/p/1/5/4/154.jpg;Detergente Deja Multiacci√≥n Polvo Floral 1kg;;Hogar;2.95;2.95;1;1
296;http://yalobox.com/img/p/3/1/8/318.jpg;Aceite Girasol 1 Lt;;Home;2.89;2.89;0;1
61;http://yalobox.com/img/p/7/7/77.jpg;Chicle Orbit Sin Az√∫car Eucalipto;;Home;0.79;0.79;11;1
240;http://yalobox.com/img/p/2/6/0/260.jpg;Canguil Para Microondas Act II Natural 91g;;Home;1.32;1.32;4;1
183;http://yalobox.com/img/p/2/0/4/204.jpg;BC Q10 Time Restore Shampoo 250ml;;Home;21.93;21.93;1;1
126;http://yalobox.com/img/p/1/4/6/146.jpg;Gel Antibacterial Fres kids Sand√≠a Pop Familia 60 ml;;Home;1.88;1.88;2;1
304;http://yalobox.com/img/p/3/2/6/326.jpg;Jab√≥n Lava Todo 6 Bebe Pack 2 Unidades;;Home;1.06;1.06;1;1
69;http://yalobox.com/img/p/8/8/88.jpg;Frejol Rojo Snob 425g;;Home;1.25;1.25;3;1
248;http://yalobox.com/img/p/2/6/8/268.jpg;Ron Cien Fuegos Oro 750 cl;;Home;10.09;10.09;3;1
191;http://yalobox.com/img/p/2/1/2/212.jpg;Gel Kleinod 500g;;Home;0.00;0.00;2;0
134;http://yalobox.com/img/p/1/5/2/152.jpg;Eliminador de Olores Ba√±o Toque Familia Bamboo Dry;;Home;4.07;4.07;1;1
312;http://yalobox.com/img/p/3/3/4/334.jpg;Desinfectante Olimpia Manzana Canela 70ml;;Home;0.22;0.22;1;1
77;http://yalobox.com/img/p/9/6/96.jpg;Toallas Nosotras Buenas Noches 10 u;;Home;2.59;2.59;2;1
256;http://yalobox.com/img/p/2/7/6/276.jpg;Horchata con Lim√≥n ILE Caja 25 Sobres;;Home;1.14;1.14;1;1
199;http://yalobox.com/img/p/2/2/0/220.jpg;Jab√≥n Cremoso Para Mi Bebe 250ml;;Home;3.60;3.60;1;1
143;http://yalobox.com/img/p/1/6/2/162.jpg;Desodorante Roll-On Rexona Sportfan;;Home;2.43;2.43;1;1
320;http://yalobox.com/img/p/3/4/2/342.jpg;Galletas Ducales 294g;;Home;1.97;1.97;3;1
85;http://yalobox.com/img/p/1/0/4/104.jpg;Spray Ambiental Tips Besos de Algod√≥n x2;;Home;3.15;3.15;1;1
264;http://yalobox.com/img/p/2/8/4/284.jpg;Ajo en Pasta ILE Botella 200ml;;Home;0.75;0.75;1;1
27;http://yalobox.com/img/p/4/7/47.jpg;Leche Deslactosada Semidescremada Funda Tetrapack Nutri 1 L;;Lacteos;1.25;1.25;0;0
207;http://yalobox.com/img/p/2/2/8/228.jpg;T√© de An√≠s Pusuqu√≠ Caja 25 sobres;;Home;0.88;0.88;2;1
151;http://yalobox.com/img/p/1/7/2/172.jpg;N√©ctar Durazno Real 200ml;;Home;0.60;0.60;12;1
328;http://yalobox.com/img/p/3/5/1/351.jpg;Caf√© Tostado y Molido Sello Rojo 500g;;Home;5.67;5.67;3;1
93;http://yalobox.com/img/p/1/1/2/112.jpg;Antitranspirante AXE Adrenaline 152ml;;Home;4.74;4.74;1;1
272;http://yalobox.com/img/p/2/9/4/294.jpg;Papel Higi√©nico Familia Megarrollo Pack 12;;Home;9.68;9.68;0;1
35;http://yalobox.com/img/p/5/4/54.jpg;Queso Fresco Nutri 500 Gramos;;Alimentaci√≥n;3.30;3.30;1;1
216;http://yalobox.com/img/p/2/3/6/236.jpg;Fideo Tornillo Don Vittorio 250g;;Home;0.83;0.83;1;1
159;http://yalobox.com/img/p/1/8/0/180.jpg;Mermelada Frutimora Snob Sachet 240g;;Home;1.27;1.27;3;1
336;http://yalobox.com/img/p/3/5/9/359.jpg;Microminas Rotring HB 0,5;;Home;1.48;1.48;5;1
101;http://yalobox.com/img/p/1/2/1/121.jpg;Jab√≥n Mix Dove Pack x 5;;Home;4.39;4.39;2;1
280;http://yalobox.com/img/p/3/0/2/302.jpg;Servilletas Familia Econ√≥mica 225 u;;Home;0.89;0.89;1;1
44;http://yalobox.com/img/p/1/3/3/133.jpg;Funda Azucar 5 Kg;;Home;5.15;5.15;1;1
104;http://yalobox.com/img/p/1/2/4/124.jpg;Jab√≥n L√≠quido Lux Suavidad de P√©talos 250ml;;Home;3.18;3.18;3;1
283;http://yalobox.com/img/p/3/0/5/305.jpg;Antitranspirante AXE Excite152ml;;Home;4.74;4.74;1;1
47;http://yalobox.com/img/p/6/4/64.jpg;Jugo Del Valle Fresh 550ml;;Home;0.44;0.44;10;1
227;http://yalobox.com/img/p/2/4/7/247.jpg;Caramelos American Toffee Licor;;Home;2.85;2.85;2;1
170;http://yalobox.com/img/p/1/9/1/191.jpg;Detergente en Polvo Deja Aloe Vera 1kg;;Home;2.89;2.89;3;1
347;http://yalobox.com/img/p/3/7/0/370.jpg;Marcador de Pizarra BIC Marking Rojo;;Home;0.70;0.70;12;1
113;http://yalobox.com/img/p/1/3/5/135.jpg;Papel Higi√©nico Familia Megarrollo x 4;;Home;3.97;3.97;4;1
291;http://yalobox.com/img/p/3/1/3/313.jpg;Shampoo Dove Reconstrucci√≥n Completa 400ml;;Home;6.16;6.16;1;1
55;http://yalobox.com/img/p/7/3/73.jpg;Leche Saborizada de Fresa Nutri 200ml;;Home;0.48;0.48;0;1
235;http://yalobox.com/img/p/2/5/5/255.jpg;Chocotin Liga de la Justicia;;Home;0.88;0.88;12;1
178;http://yalobox.com/img/p/1/9/9/199.jpg;BC Moisture Kick Acondicionador Spray 200ml;;Home;28.95;28.95;2;1
121;http://yalobox.com/img/p/1/4/2/142.jpg;Gel Antibacterial Familia 265 ml;;Home;4.24;4.24;2;1
299;http://yalobox.com/img/p/3/2/1/321.jpg;Detergente L√≠quido Cicl√≥n Practipack 210ml;;Home;0.70;0.70;3;1
64;http://yalobox.com/img/p/8/2/82.jpg;Cereales Crokitos 20g;;Home;0.27;0.27;15;1
243;http://yalobox.com/img/p/2/6/3/263.jpg;Manitoba Man√≠ Salado 20g;;Home;0.44;0.44;11;1
186;http://yalobox.com/img/p/2/0/7/207.jpg;BC Repair Rescue Puntas Sanas Crema 75ml;;Home;28.07;28.07;2;1
129;http://yalobox.com/img/p/1/4/8/148.jpg;Toallas Tena Mujer Medium 10 u;;Home;4.54;4.54;3;1
307;http://yalobox.com/img/p/3/2/9/329.jpg;Jab√≥n Lava Todo 6 Naranja Mandarina Pack 2 Unidades;;Home;1.06;1.06;1;1
72;http://yalobox.com/img/p/9/1/91.jpg;At√∫n Real Lomitos en Aceite de Girasol 180g;;Home;1.55;1.55;9;1
251;http://yalobox.com/img/p/2/7/1/271.jpg;Cerveza Artesanal Latitud Cero Sierra Negra 330ml;;Home;1.97;1.97;4;1
194;http://yalobox.com/img/p/2/1/5/215.jpg;Maicena Iris 200g;;Home;0.83;0.83;2;1
138;http://yalobox.com/img/p/1/5/9/159.jpg;Desodorante Dove Stick Extra Fresh Men;;Home;4.83;4.83;1;1
315;http://yalobox.com/img/p/3/3/7/337.jpg;Materiales de Construcci√≥n;;Home;0.00;0.00;1;0
80;http://yalobox.com/img/p/9/9/99.jpg;Servilletas Familia Normal 200 u;;Home;1.84;1.84;0;1
259;http://yalobox.com/img/p/2/7/9/279.jpg;T√© de Cedr√≥n ILE Caja 25 sobres;;Home;1.01;1.01;1;1
22;http://yalobox.com/img/p/3/9/39.jpg;Bebida Nectar Premium Durazno Nutri 1 L;;Bebidas;1.66;1.66;3;1
202;http://yalobox.com/img/p/2/2/3/223.jpg;N√©ctar de Durazno Sunny 237ml;;Home;0.61;0.61;7;1
146;http://yalobox.com/img/p/1/6/6/166.jpg;Jab√≥n Rexona Aloe;;Home;2.55;2.55;2;1
323;http://yalobox.com/img/p/3/4/6/346.jpg;Colcaf√© Max 200g;;Home;6.65;6.65;1;1
88;http://yalobox.com/img/p/1/0/7/107.jpg;Desodorante AXE Excite 150ml;;Home;4.74;4.74;1;1
267;http://yalobox.com/img/p/2/8/7/287.jpg;Vinagre Blanco ILE Botella 100ml;;Home;0.33;0.33;2;1
30;http://yalobox.com/img/p/4/9/49.jpg;Leche Nutri Semisdescremada Funda 1 L;;Home;0.90;0.90;24;1
211;http://yalobox.com/img/p/2/3/1/231.jpg;T√© de Manzanilla con Miel Hornimans Caja 25 sobres;;Home;1.47;1.47;2;1
154;http://yalobox.com/img/p/1/7/5/175.jpg;N√©ctar Pera Real 200ml;;Home;0.60;0.60;12;1
331;http://yalobox.com/img/p/3/5/4/354.jpg;Aditivo Para Morteros Sika Top77 4kg;;Ferreter√≠a;28.44;28.44;2;1
96;http://yalobox.com/img/p/1/1/6/116.jpg;Detergente L√≠quido Deja 1,9 Lt;;Home;6.69;6.69;1;1
275;http://yalobox.com/img/p/2/9/6/296.jpg;Papel Higi√©nico Familia Extragrande Pack 12;;Home;8.11;8.11;3;1
38;http://yalobox.com/img/p/5/9/59.jpg;212 VIP ROS√â;;Perfumes y Fragancias;78.95;78.95;0;1
219;http://yalobox.com/img/p/2/3/9/239.jpg;Fideo Canuto Chico Don Vittorio 250g;;Home;0.83;0.83;1;1
162;http://yalobox.com/img/p/1/8/3/183.jpg;Fideo Codito Rayado Real 400g;;Home;1.43;1.43;1;1
339;http://yalobox.com/img/p/3/6/2/362.jpg;Archivador de Cart√≥n;;Home;1.04;1.04;25;1
165;http://yalobox.com/img/p/1/8/6/186.jpg;Mermelada Guayaba Snob Sachet 240g;;Home;1.27;1.27;3;1
342;http://yalobox.com/img/p/3/6/5/365.jpg;Ambiental Tips Manzana Canela;;Home;1.11;1.11;3;1
107;http://yalobox.com/img/p/1/2/7/127.jpg;Desodorante Stick Rexona V8 50g;;Home;3.99;3.99;1;1
286;http://yalobox.com/img/p/3/0/8/308.jpg;Detergente en Polvo Surf Jazm√≠n de la Media Noche y Orquideas 1kg;;Home;2.68;2.68;1;1
50;http://yalobox.com/img/p/6/8/68.jpg;Mayonesa Los Andes 330g;;Home;2.28;2.28;1;1
230;http://yalobox.com/img/p/2/5/0/250.jpg;Chocolates American Corazones Rellenos;;Home;4.24;4.24;1;1
173;http://yalobox.com/img/p/1/9/4/194.jpg;Shampo Sedal Keratina con Antioxidante 350ml;;Home;4.47;4.47;2;1
350;http://yalobox.com/img/p/3/7/4/374.jpg;Whisky John Morris 750ml;;Home;9.40;9.40;5;1
116;http://yalobox.com/img/p/1/3/8/138.jpg;Servilletas Familia Normal 100 u;;Home;2.11;2.11;3;1
294;http://yalobox.com/img/p/3/1/6/316.jpg;Aceite La Favorita 2lt;;Home;4.39;4.39;2;1
58;http://yalobox.com/img/p/6/7/67.jpg;Yogurt Nutri Fresa 1000g;;Home;2.25;2.25;1;1
238;http://yalobox.com/img/p/2/5/8/258.jpg;Papas Pringles Queso Peque√±a;;Home;1.32;1.32;0;1
181;http://yalobox.com/img/p/2/0/1/201.jpg;BC Oil Miracle Shampoo 200ml;;Home;0.00;0.00;2;1
124;http://yalobox.com/img/p/1/4/4/144.jpg;Pa√±itos Antibacteriales Fres Kids Familia Lata;;Home;3.48;3.48;4;1
302;http://yalobox.com/img/p/3/2/4/324.jpg;Suavizante Perla Soft Serenidad 1000ml;;Home;3.12;3.12;1;1
67;http://yalobox.com/img/p/8/6/86.jpg;Jarabe de Frutilla Snob 680g;;Home;3.84;3.84;2;1
246;http://yalobox.com/img/p/2/6/6/266.jpg;Espumante Grand Vandush 750ml;;Home;5.44;5.44;0;1
189;http://yalobox.com/img/p/2/1/0/210.jpg;Osis Flatliner Serum Alisador Para Plancha 200ml;;Home;23.68;23.68;1;1
132;http://yalobox.com/img/p/1/5/0/150.jpg;Jab√≥n √çntimo Frescura Extrema Nosotras Sachet 18 ml;;Home;0.57;0.57;6;1
310;http://yalobox.com/img/p/3/3/2/332.jpg;Desinfectante Olimpia Eucalipto 70ml;;Home;0.22;0.22;2;1
75;http://yalobox.com/img/p/9/4/94.jpg;Toallas Nosotras Invisible Rapisec 10 u;;Home;1.61;1.61;24;1
254;http://yalobox.com/img/p/2/7/4/274.jpg;Sabora ILE Sobre 50g;;Home;0.38;0.38;12;1
197;http://yalobox.com/img/p/2/1/8/218.jpg;Caf√© Buen D√≠a 170g;;Home;8.08;8.08;1;1
141;http://yalobox.com/img/p/1/6/4/164.jpg;Desodorante Spray Rexona Quantum Men;;Home;4.74;4.74;1;1
318;http://yalobox.com/img/p/3/4/0/340.jpg;Bombones de Chocolate Montblanc Estuche 7 Unidades;;Home;4.82;4.82;1;1
83;http://yalobox.com/img/p/1/0/2/102.jpg;Papel Higi√©nico Familia Extragrande 4 Rollos;;Home;3.50;3.50;2;1
262;http://yalobox.com/img/p/2/8/2/282.jpg;T√© de Toronjil ILE Caja 25 sobres;;Home;1.01;1.01;1;1
25;http://yalobox.com/img/p/4/2/42.jpg;Crema de Leche Nutri 500 ml;;Alimentaci√≥n;1.85;1.85;2;1
205;http://yalobox.com/img/p/2/2/6/226.jpg;T√© de Menta Pusuqu√≠ Caja 25 sobres;;Home;0.88;0.88;3;1
149;http://yalobox.com/img/p/1/7/0/170.jpg;Durazno Snob En Mitades;;Home;3.51;3.51;4;1
326;http://yalobox.com/img/p/3/4/9/349.jpg;Colcaf√© Capuccino Mocca Lata 270g;;Home;6.76;6.76;1;1
91;http://yalobox.com/img/p/1/1/0/110.jpg;Desodorante AXE Fusion 150ml;;Home;4.74;4.74;3;1
270;http://yalobox.com/img/p/2/9/2/292.jpg;Pilas Energizer Alkalina AAA2;;Home;1.97;1.97;6;1
33;http://yalobox.com/img/p/5/2/52.jpg;Yogurt Nutri Durazno 200 g con cereal;;Home;0.65;0.65;4;1
214;http://yalobox.com/img/p/2/3/4/234.jpg;Pasta Dental Blendax Full Menta 93g;;Home;0.88;0.88;2;1
157;http://yalobox.com/img/p/1/7/8/178.jpg;Mermelada Frutilla Snob Frasco 290g;;Home;1.69;1.69;1;1
334;http://yalobox.com/img/p/3/5/7/357.jpg;Clip Mariposa Alex Caja 50 Unidades;;Home;1.13;1.13;6;1
99;http://yalobox.com/img/p/1/1/9/119.jpg;Detergente en Polvo Deja Brisas de Primavera 1,1kg;;Home;2.89;2.89;3;1
278;http://yalobox.com/img/p/3/0/0/300.jpg;Rasuradora BIC Comfort 3;;Home;1.32;1.32;12;1
